,Maze,Metric,Alternative,P Value,Null Hypothesis
111,MazeF4-v0,reliable_list,two-sided,8.551171716138444e-139,Reject
112,MazeF4-v0,reliable_list,larger,4.275585858069222e-139,Reject
113,MazeF4-v0,reliable_list,smaller,1.0,Accept
114,MazeF4-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
115,MazeF4-v0,pees_matching_non_aliased_states_list,larger,,Accept
116,MazeF4-v0,pees_matching_non_aliased_states_list,smaller,,Accept
117,MazeF4-v0,mean_reliable_classifier_specificity_list,two-sided,1.866555106049748e-89,Reject
118,MazeF4-v0,mean_reliable_classifier_specificity_list,larger,9.33277553024874e-90,Reject
119,MazeF4-v0,mean_reliable_classifier_specificity_list,smaller,1.0,Accept
120,MazeF4-v0,full_knowledge_first_trial_list,two-sided,1.8629453263603353e-18,Reject
121,MazeF4-v0,full_knowledge_first_trial_list,larger,9.314726631801676e-19,Reject
122,MazeF4-v0,full_knowledge_first_trial_list,smaller,1.0,Accept
123,MazeF4-v0,full_knowledge_stable_trial_list,two-sided,0.001403841273703133,Reject
124,MazeF4-v0,full_knowledge_stable_trial_list,larger,0.0007019206368515665,Reject
125,MazeF4-v0,full_knowledge_stable_trial_list,smaller,0.9992980793631484,Accept
126,Maze7-v0,knowledge_list,two-sided,,Accept
127,Maze7-v0,knowledge_list,larger,,Accept
128,Maze7-v0,knowledge_list,smaller,,Accept
129,Maze7-v0,population_list,two-sided,1.3116185541527628e-99,Reject
130,Maze7-v0,population_list,larger,6.558092770763814e-100,Reject
131,Maze7-v0,population_list,smaller,1.0,Accept
132,Maze7-v0,reliable_list,two-sided,9.556157093198114e-167,Reject
133,Maze7-v0,reliable_list,larger,4.778078546599057e-167,Reject
134,Maze7-v0,reliable_list,smaller,1.0,Accept
135,Maze7-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
136,Maze7-v0,pees_matching_non_aliased_states_list,larger,,Accept
137,Maze7-v0,pees_matching_non_aliased_states_list,smaller,,Accept
138,Maze7-v0,mean_reliable_classifier_specificity_list,two-sided,1.333553809107863e-115,Reject
139,Maze7-v0,mean_reliable_classifier_specificity_list,larger,6.667769045539315e-116,Reject
140,Maze7-v0,mean_reliable_classifier_specificity_list,smaller,1.0,Accept
141,Maze7-v0,full_knowledge_first_trial_list,two-sided,1.3766043996211808e-28,Reject
142,Maze7-v0,full_knowledge_first_trial_list,larger,6.883021998105904e-29,Reject
143,Maze7-v0,full_knowledge_first_trial_list,smaller,1.0,Accept
144,Maze7-v0,full_knowledge_stable_trial_list,two-sided,9.619214752518525e-07,Reject
145,Maze7-v0,full_knowledge_stable_trial_list,larger,4.809607376259262e-07,Reject
146,Maze7-v0,full_knowledge_stable_trial_list,smaller,0.9999995190392623,Accept
147,Maze10-v0,knowledge_list,two-sided,,Accept
148,Maze10-v0,knowledge_list,larger,,Accept
149,Maze10-v0,knowledge_list,smaller,,Accept
150,Maze10-v0,population_list,two-sided,2.0000179929987437e-25,Reject
151,Maze10-v0,population_list,larger,1.0000089964993718e-25,Reject
152,Maze10-v0,population_list,smaller,1.0,Accept
153,Maze10-v0,reliable_list,two-sided,5.50021313367756e-241,Reject
154,Maze10-v0,reliable_list,larger,2.75010656683878e-241,Reject
155,Maze10-v0,reliable_list,smaller,1.0,Accept
156,Maze10-v0,pees_matching_non_aliased_states_list,two-sided,1.280964898295123e-84,Reject
157,Maze10-v0,pees_matching_non_aliased_states_list,larger,1.0,Accept
158,Maze10-v0,pees_matching_non_aliased_states_list,smaller,6.404824491475615e-85,Reject
159,Maze10-v0,mean_reliable_classifier_specificity_list,two-sided,9.531024915588254e-15,Reject
160,Maze10-v0,mean_reliable_classifier_specificity_list,larger,4.765512457794127e-15,Reject
161,Maze10-v0,mean_reliable_classifier_specificity_list,smaller,0.9999999999999952,Accept
162,Maze10-v0,full_knowledge_first_trial_list,two-sided,7.41228570049511e-05,Reject
163,Maze10-v0,full_knowledge_first_trial_list,larger,3.706142850247555e-05,Reject
164,Maze10-v0,full_knowledge_first_trial_list,smaller,0.9999629385714975,Accept
165,Maze10-v0,full_knowledge_stable_trial_list,two-sided,0.023996004052991852,Accept
166,Maze10-v0,full_knowledge_stable_trial_list,larger,0.011998002026495926,Accept
167,Maze10-v0,full_knowledge_stable_trial_list,smaller,0.9880019979735041,Accept
168,MazeE1-v0,knowledge_list,two-sided,,Accept
169,MazeE1-v0,knowledge_list,larger,,Accept
170,MazeE1-v0,knowledge_list,smaller,,Accept
171,MazeE1-v0,population_list,two-sided,4.245928902196944e-125,Reject
172,MazeE1-v0,population_list,larger,1.0,Accept
173,MazeE1-v0,population_list,smaller,2.122964451098472e-125,Reject
174,MazeE1-v0,reliable_list,two-sided,1.3793203940106534e-05,Reject
175,MazeE1-v0,reliable_list,larger,0.9999931033980299,Accept
176,MazeE1-v0,reliable_list,smaller,6.896601970053267e-06,Reject
