,Maze,Metric,Alternative,P Value,Null Hypothesis
125,MazeF4-v0,full_knowledge_stable_trial_list,smaller,8.379680506174587e-181,Reject
126,Maze7-v0,knowledge_list,two-sided,0.0,Reject
127,Maze7-v0,knowledge_list,larger,1.0,Accept
128,Maze7-v0,knowledge_list,smaller,0.0,Reject
129,Maze7-v0,population_list,two-sided,0.13735914234758348,Accept
130,Maze7-v0,population_list,larger,0.06867957117379174,Accept
131,Maze7-v0,population_list,smaller,0.9313204288262082,Accept
132,Maze7-v0,reliable_list,two-sided,0.953910665173285,Accept
133,Maze7-v0,reliable_list,larger,0.4769553325866425,Accept
134,Maze7-v0,reliable_list,smaller,0.5230446674133574,Accept
135,Maze7-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
136,Maze7-v0,pees_matching_non_aliased_states_list,larger,,Accept
137,Maze7-v0,pees_matching_non_aliased_states_list,smaller,,Accept
138,Maze7-v0,mean_reliable_classifier_specificity_list,two-sided,1.6905353790708016e-17,Reject
139,Maze7-v0,mean_reliable_classifier_specificity_list,larger,1.0,Accept
140,Maze7-v0,mean_reliable_classifier_specificity_list,smaller,8.452676895354008e-18,Reject
141,Maze7-v0,full_knowledge_first_trial_list,two-sided,2.219811251678036e-151,Reject
142,Maze7-v0,full_knowledge_first_trial_list,larger,1.0,Accept
143,Maze7-v0,full_knowledge_first_trial_list,smaller,1.109905625839018e-151,Reject
144,Maze7-v0,full_knowledge_stable_trial_list,two-sided,2.219811251678036e-151,Reject
145,Maze7-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
146,Maze7-v0,full_knowledge_stable_trial_list,smaller,1.109905625839018e-151,Reject
147,Maze10-v0,knowledge_list,two-sided,0.0,Reject
148,Maze10-v0,knowledge_list,larger,1.0,Accept
149,Maze10-v0,knowledge_list,smaller,0.0,Reject
150,Maze10-v0,population_list,two-sided,0.0032498487400005197,Reject
151,Maze10-v0,population_list,larger,0.0016249243700002598,Reject
152,Maze10-v0,population_list,smaller,0.9983750756299997,Accept
153,Maze10-v0,reliable_list,two-sided,0.0409539716981648,Accept
154,Maze10-v0,reliable_list,larger,0.9795230141509176,Accept
155,Maze10-v0,reliable_list,smaller,0.0204769858490824,Accept
156,Maze10-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
157,Maze10-v0,pees_matching_non_aliased_states_list,larger,,Accept
158,Maze10-v0,pees_matching_non_aliased_states_list,smaller,,Accept
159,Maze10-v0,mean_reliable_classifier_specificity_list,two-sided,2.5372883403871198e-09,Reject
160,Maze10-v0,mean_reliable_classifier_specificity_list,larger,0.9999999987313558,Accept
161,Maze10-v0,mean_reliable_classifier_specificity_list,smaller,1.2686441701935599e-09,Reject
162,Maze10-v0,full_knowledge_first_trial_list,two-sided,9.989476526565934e-45,Reject
163,Maze10-v0,full_knowledge_first_trial_list,larger,1.0,Accept
164,Maze10-v0,full_knowledge_first_trial_list,smaller,4.994738263282967e-45,Reject
165,Maze10-v0,full_knowledge_stable_trial_list,two-sided,9.989476526565934e-45,Reject
166,Maze10-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
167,Maze10-v0,full_knowledge_stable_trial_list,smaller,4.994738263282967e-45,Reject
168,MazeE1-v0,knowledge_list,two-sided,0.0,Reject
169,MazeE1-v0,knowledge_list,larger,1.0,Accept
170,MazeE1-v0,knowledge_list,smaller,0.0,Reject
171,MazeE1-v0,population_list,two-sided,8.052813026983196e-33,Reject
172,MazeE1-v0,population_list,larger,1.0,Accept
173,MazeE1-v0,population_list,smaller,4.026406513491598e-33,Reject
174,MazeE1-v0,reliable_list,two-sided,1.61738475063768e-15,Reject
175,MazeE1-v0,reliable_list,larger,0.9999999999999992,Accept
176,MazeE1-v0,reliable_list,smaller,8.0869237531884e-16,Reject
177,MazeE1-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
178,MazeE1-v0,pees_matching_non_aliased_states_list,larger,,Accept
179,MazeE1-v0,pees_matching_non_aliased_states_list,smaller,,Accept
180,MazeE1-v0,mean_reliable_classifier_specificity_list,two-sided,5.181387232808469e-51,Reject
181,MazeE1-v0,mean_reliable_classifier_specificity_list,larger,1.0,Accept
182,MazeE1-v0,mean_reliable_classifier_specificity_list,smaller,2.5906936164042344e-51,Reject
183,MazeE1-v0,full_knowledge_first_trial_list,two-sided,0.0,Reject
184,MazeE1-v0,full_knowledge_first_trial_list,larger,1.0,Accept
185,MazeE1-v0,full_knowledge_first_trial_list,smaller,0.0,Reject
186,MazeE1-v0,full_knowledge_stable_trial_list,two-sided,0.0,Reject
187,MazeE1-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
188,MazeE1-v0,full_knowledge_stable_trial_list,smaller,0.0,Reject
189,MazeE2-v0,knowledge_list,two-sided,0.0,Reject
190,MazeE2-v0,knowledge_list,larger,1.0,Accept
191,MazeE2-v0,knowledge_list,smaller,0.0,Reject
192,MazeE2-v0,population_list,two-sided,4.56772893088977e-62,Reject
193,MazeE2-v0,population_list,larger,1.0,Accept
194,MazeE2-v0,population_list,smaller,2.283864465444885e-62,Reject
195,MazeE2-v0,reliable_list,two-sided,0.0035998684222599197,Reject
196,MazeE2-v0,reliable_list,larger,0.99820006578887,Accept
197,MazeE2-v0,reliable_list,smaller,0.0017999342111299599,Reject
198,MazeE2-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
199,MazeE2-v0,pees_matching_non_aliased_states_list,larger,,Accept
200,MazeE2-v0,pees_matching_non_aliased_states_list,smaller,,Accept
201,MazeE2-v0,mean_reliable_classifier_specificity_list,two-sided,5.096934376643945e-152,Reject
202,MazeE2-v0,mean_reliable_classifier_specificity_list,larger,1.0,Accept
203,MazeE2-v0,mean_reliable_classifier_specificity_list,smaller,2.5484671883219723e-152,Reject
204,MazeE2-v0,full_knowledge_first_trial_list,two-sided,1.2298506038535946e-214,Reject
205,MazeE2-v0,full_knowledge_first_trial_list,larger,1.0,Accept
206,MazeE2-v0,full_knowledge_first_trial_list,smaller,6.149253019267973e-215,Reject
207,MazeE2-v0,full_knowledge_stable_trial_list,two-sided,1.2298506038535946e-214,Reject
208,MazeE2-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
209,MazeE2-v0,full_knowledge_stable_trial_list,smaller,6.149253019267973e-215,Reject
210,MiyazakiA-v0,knowledge_list,two-sided,0.0,Reject
211,MiyazakiA-v0,knowledge_list,larger,1.0,Accept
212,MiyazakiA-v0,knowledge_list,smaller,0.0,Reject
213,MiyazakiA-v0,population_list,two-sided,0.0001241655027243291,Reject
