,Maze,Metric,ALCS,Alternative,Degrees of freedom,P Value,Null Hypothesis
81,Woods101-v0,population_list,BEACS-debiased-BEACS,two-sided,57.97130627513536,0.29279407976706834,Accept
82,Woods101-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,49.43864624571546,0.12158834901886102,Accept
83,Woods101-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,57.40920451395413,0.030590635618765138,Reject
84,Woods101demi-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,29.0,0.043397417810776225,Reject
85,Woods101demi-v0,population_list,BEACS-debiased-BEACS,two-sided,55.43847444938996,0.48134491161701987,Accept
86,Woods101demi-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,56.67883188350056,0.8453173846393178,Accept
87,Woods101demi-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,56.68561001657443,0.31881680268386514,Accept
88,Woods102-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,29.0,0.32558198801621363,Accept
89,Woods102-v0,population_list,BEACS-debiased-BEACS,two-sided,57.880564987769695,0.030334664599470637,Reject
90,Woods102-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,57.98057851840779,0.008977752837281017,Reject
91,Woods102-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,52.59319279131722,0.11208188388096606,Accept
